format,date,opponent,venue,runs,balls,fours,sixes,not_out,dismissal,tour,away,season,match_ref,tour_id
IPL,2014-05-20,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",67,43,4,4,,caught (DW Steyn),,,IPL 2014,IPL-734021,
IPL,2014-05-22,Kolkata Knight Riders,Eden Gardens,38,31,3,1,,caught (M Morkel),,,IPL 2014,IPL-734027,
IPL,2014-05-24,Chennai Super Kings,M Chinnaswamy Stadium,73,53,2,5,,bowled,,,IPL 2014,IPL-734035,
Test,2014-07-09,England,Nottingham,1,8,,,,caught,India in England 2014 — v England,yes,,Test # 2128,India in England 2014 — v England|England
Test,2014-07-09,England,Nottingham,8,29,1,,,lbw,India in England 2014 — v England,yes,,Test # 2128,India in England 2014 — v England|England
Test,2014-07-17,England,Lord's,25,34,4,,,caught,India in England 2014 — v England,yes,,Test # 2130,India in England 2014 — v England|England
Test,2014-07-17,England,Lord's,0,1,,,,bowled,India in England 2014 — v England,yes,,Test # 2130,India in England 2014 — v England|England
Test,2014-07-27,England,Southampton,39,75,3,,,caught,India in England 2014 — v England,yes,,Test # 2132,India in England 2014 — v England|England
Test,2014-07-27,England,Southampton,28,56,3,,,caught,India in England 2014 — v England,yes,,Test # 2132,India in England 2014 — v England|England
Test,2014-08-07,England,Manchester,0,2,,,,caught,India in England 2014 — v England,yes,,Test # 2134,India in England 2014 — v England|England
Test,2014-08-07,England,Manchester,7,11,1,,,caught,India in England 2014 — v England,yes,,Test # 2134,India in England 2014 — v England|England
Test,2014-08-15,England,The Oval,6,18,1,,,lbw,India in England 2014 — v England,yes,,Test # 2137,India in England 2014 — v England|England
Test,2014-08-15,England,The Oval,20,54,2,,,caught,India in England 2014 — v England,yes,,Test # 2137,India in England 2014 — v England|England
ODI,2014-08-27,England,Cardiff,0,3,,,,caught,India in England 2014 — v England,yes,,ODI # 3517,India in England 2014 — v England|England
ODI,2014-08-30,England,Nottingham,40,50,2,1,,caught,India in England 2014 — v England,yes,,ODI # 3520,India in England 2014 — v England|England
ODI,2014-09-02,England,Birmingham,1,3,,,yes,not out,India in England 2014 — v England,yes,,ODI # 3523,India in England 2014 — v England|England
ODI,2014-09-05,England,Leeds,13,21,2,,,caught,India in England 2014 — v England,yes,,ODI # 3525,India in England 2014 — v England|England
T20I,2014-09-07,England,Birmingham,66,41,9,1,,caught,India in England 2014 — v England,yes,,T20I # 405,India in England 2014 — v England|England
ODI,2014-10-08,West Indies,Kochi,2,5,,,,caught,v West Indies in India 2014,no,,ODI # 3531,v West Indies in India 2014|West Indies
ODI,2014-10-11,West Indies,Delhi,62,78,5,,,caught,v West Indies in India 2014,no,,ODI # 3533,v West Indies in India 2014|West Indies
ODI,2014-10-17,West Indies,Dharamsala,127,114,13,3,,run out,v West Indies in India 2014,no,,ODI # 3535,v West Indies in India 2014|West Indies
ODI,2014-11-02,Sri Lanka,Cuttack,22,21,2,,,caught,v Sri Lanka in India 2014,no,,ODI # 3539,v Sri Lanka in India 2014|Sri Lanka
ODI,2014-11-06,Sri Lanka,Ahmedabad,49,44,2,2,,caught,v Sri Lanka in India 2014,no,,ODI # 3540,v Sri Lanka in India 2014|Sri Lanka
ODI,2014-11-09,Sri Lanka,Hyderabad,53,61,4,1,,caught,v Sri Lanka in India 2014,no,,ODI # 3543,v Sri Lanka in India 2014|Sri Lanka
ODI,2014-11-13,Sri Lanka,Eden Gardens,66,64,6,,,run out,v Sri Lanka in India 2014,no,,ODI # 3544,v Sri Lanka in India 2014|Sri Lanka
ODI,2014-11-16,Sri Lanka,Ranchi,139,126,12,3,yes,not out,v Sri Lanka in India 2014,no,,ODI # 3547,v Sri Lanka in India 2014|Sri Lanka
Test,2014-12-09,Australia,Adelaide,115,184,12,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2148,India in Australia 2015 — v Australia|Australia
Test,2014-12-09,Australia,Adelaide,141,175,16,1,,caught,India in Australia 2015 — v Australia,yes,,Test # 2148,India in Australia 2015 — v Australia|Australia
Test,2014-12-17,Australia,Brisbane,19,27,1,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2149,India in Australia 2015 — v Australia|Australia
Test,2014-12-17,Australia,Brisbane,1,11,,,,bowled,India in Australia 2015 — v Australia,yes,,Test # 2149,India in Australia 2015 — v Australia|Australia
Test,2014-12-26,Australia,Melbourne,169,272,18,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2152,India in Australia 2015 — v Australia|Australia
Test,2014-12-26,Australia,Melbourne,54,99,7,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2152,India in Australia 2015 — v Australia|Australia
Test,2015-01-06,Australia,Sydney,147,230,20,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2156,India in Australia 2015 — v Australia|Australia
Test,2015-01-06,Australia,Sydney,46,95,3,,,caught,India in Australia 2015 — v Australia,yes,,Test # 2156,India in Australia 2015 — v Australia|Australia
ODI,2015-01-18,Australia,Melbourne,9,16,,,,caught,India in Australia 2015 — v Australia,yes,,ODI # 3582,India in Australia 2015 — v Australia|Australia
ODI,2015-01-20,England,Brisbane,4,8,,,,caught,Tournament in Australia 2015,yes,,ODI # 3586,Tournament in Australia 2015|England
ODI,2015-01-26,Australia,Sydney,3,9,,,yes,not out,India in Australia 2015 — v Australia,yes,,ODI # 3592,India in Australia 2015 — v Australia|Australia
ODI,2015-01-30,England,W.A.C.A,8,19,,,,caught,Tournament in Australia 2015,yes,,ODI # 3595,Tournament in Australia 2015|England
ODI,2015-02-15,Pakistan,Adelaide,107,126,8,,,caught,Tournament in Australia 2015,yes,,ODI # 3602,Tournament in Australia 2015|Pakistan
ODI,2015-02-22,South Africa,Melbourne,46,60,3,,,caught,Tournament in Australia 2015,yes,,ODI # 3610,Tournament in Australia 2015|South Africa
ODI,2015-02-28,U.A.E.,W.A.C.A,33,41,5,,yes,not out,Tournament in Australia 2015,yes,,ODI # 3618,Tournament in Australia 2015|U.A.E.
ODI,2015-03-06,West Indies,W.A.C.A,33,36,5,,,caught,Tournament in Australia 2015,yes,,ODI # 3625,Tournament in Australia 2015|West Indies
ODI,2015-03-10,Ireland,Hamilton,44,42,4,1,yes,not out,Tournament in New Zealand 2015,yes,,ODI # 3631,Tournament in New Zealand 2015|Ireland
ODI,2015-03-14,Zimbabwe,Auckland,38,48,4,,,bowled,Tournament in New Zealand 2015,yes,,ODI # 3636,Tournament in New Zealand 2015|Zimbabwe
ODI,2015-03-19,Bangladesh,Melbourne,3,8,,,,caught,Tournament in Australia 2015,yes,,ODI # 3641,Tournament in Australia 2015|Bangladesh
ODI,2015-03-26,Australia,Sydney,1,13,,,,caught,India in Australia 2015 — v Australia,yes,,ODI # 3645,India in Australia 2015 — v Australia|Australia
IPL,2015-04-11,Kolkata Knight Riders,Eden Gardens,13,15,0,1,,caught (RV Uthappa),,,IPL 2015,IPL-829713,
IPL,2015-04-13,Sunrisers Hyderabad,M Chinnaswamy Stadium,41,42,4,2,,bowled,,,IPL 2015,IPL-829719,
IPL,2015-04-19,Mumbai Indians,M Chinnaswamy Stadium,18,19,1,1,,caught (AT Rayudu),,,IPL 2015,IPL-829737,
IPL,2015-04-22,Chennai Super Kings,M Chinnaswamy Stadium,51,43,4,2,,caught (DR Smith),,,IPL 2015,IPL-829745,
IPL,2015-04-24,Rajasthan Royals,"Sardar Patel Stadium, Motera",62,46,1,3,,,,,IPL 2015,IPL-829749,
IPL,2015-04-26,Delhi Daredevils,Feroz Shah Kotla,35,23,6,0,,,,,IPL 2015,IPL-829757,
IPL,2015-04-29,Rajasthan Royals,M Chinnaswamy Stadium,1,4,0,0,,caught (SV Samson),,,IPL 2015,IPL-829763,
IPL,2015-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,34,20,2,3,,caught (SA Yadav),,,IPL 2015,IPL-829771,
IPL,2015-05-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",48,44,2,1,,run out (DJ Bravo),,,IPL 2015,IPL-829779,
IPL,2015-05-06,Kings XI Punjab,M Chinnaswamy Stadium,32,31,3,1,,bowled,,,IPL 2015,IPL-829785,
IPL,2015-05-10,Mumbai Indians,Wankhede Stadium,82,51,6,4,,,,,IPL 2015,IPL-829795,
IPL,2015-05-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",19,9,2,1,,bowled,,,IPL 2015,IPL-829803,
IPL,2015-05-15,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",44,19,3,3,,,,,IPL 2015,IPL-829807,
IPL,2015-05-17,Delhi Daredevils,M Chinnaswamy Stadium,1,2,0,0,,,,,IPL 2015,IPL-829813,
IPL,2015-05-20,Rajasthan Royals,Maharashtra Cricket Association Stadium,12,18,0,0,,caught and bowled,,,IPL 2015,IPL-829819,
IPL,2015-05-22,Chennai Super Kings,JSCA International Stadium Complex,12,9,1,1,,caught (MM Sharma),,,IPL 2015,IPL-829821,
Test,2015-06-10,Bangladesh,Fatullah,14,22,2,,,bowled,India in Bangladesh 2015 — v Bangladesh,yes,,Test # 2165,India in Bangladesh 2015 — v Bangladesh|Bangladesh
ODI,2015-06-18,Bangladesh,Mirpur,1,4,,,,caught,India in Bangladesh 2015 — v Bangladesh,yes,,ODI # 3658,India in Bangladesh 2015 — v Bangladesh|Bangladesh
ODI,2015-06-21,Bangladesh,Mirpur,23,27,3,1,,lbw,India in Bangladesh 2015 — v Bangladesh,yes,,ODI # 3660,India in Bangladesh 2015 — v Bangladesh|Bangladesh
ODI,2015-06-24,Bangladesh,Mirpur,25,35,1,,,bowled,India in Bangladesh 2015 — v Bangladesh,yes,,ODI # 3661,India in Bangladesh 2015 — v Bangladesh|Bangladesh
Test,2015-08-12,Sri Lanka,Galle,103,191,11,,,lbw,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2176,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
Test,2015-08-12,Sri Lanka,Galle,3,10,,,,caught,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2176,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
Test,2015-08-20,Sri Lanka,Colombo (PSS),78,107,8,1,,caught,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2177,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
Test,2015-08-20,Sri Lanka,Colombo (PSS),10,19,,,,lbw,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2177,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
Test,2015-08-28,Sri Lanka,Colombo (SSC),18,60,3,,,caught,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2179,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
Test,2015-08-28,Sri Lanka,Colombo (SSC),21,63,2,,,caught,India in Sri Lanka 2015 — v Sri Lanka,yes,,Test # 2179,India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka
T20I,2015-10-02,South Africa,Dharamsala,43,27,1,3,,caught,v South Africa in India 2015,no,,T20I # 456,v South Africa in India 2015|South Africa
T20I,2015-10-05,South Africa,Cuttack,1,1,,,,run out,v South Africa in India 2015,no,,T20I # 457,v South Africa in India 2015|South Africa
ODI,2015-10-11,South Africa,Kanpur,11,18,,,,caught,v South Africa in India 2015,no,,ODI # 3689,v South Africa in India 2015|South Africa
ODI,2015-10-14,South Africa,Indore,12,18,,,,run out,v South Africa in India 2015,no,,ODI # 3692,v South Africa in India 2015|South Africa
ODI,2015-10-18,South Africa,Rajkot,77,99,5,,,caught,v South Africa in India 2015,no,,ODI # 3695,v South Africa in India 2015|South Africa
ODI,2015-10-22,South Africa,Chennai,138,140,6,5,,caught,v South Africa in India 2015,no,,ODI # 3698,v South Africa in India 2015|South Africa
ODI,2015-10-25,South Africa,Wankhede,7,6,,1,,caught,v South Africa in India 2015,no,,ODI # 3700,v South Africa in India 2015|South Africa
Test,2015-11-05,South Africa,Mohali,1,4,,,,caught,v South Africa in India 2015,no,,Test # 2186,v South Africa in India 2015|South Africa
Test,2015-11-05,South Africa,Mohali,29,71,4,,,caught,v South Africa in India 2015,no,,Test # 2186,v South Africa in India 2015|South Africa
Test,2015-11-25,South Africa,Nagpur,22,55,2,,,caught,v South Africa in India 2015,no,,Test # 2189,v South Africa in India 2015|South Africa
Test,2015-11-25,South Africa,Nagpur,16,30,2,,,caught,v South Africa in India 2015,no,,Test # 2189,v South Africa in India 2015|South Africa
Test,2015-12-03,South Africa,Delhi,44,62,7,,,caught,v South Africa in India 2015,no,,Test # 2191,v South Africa in India 2015|South Africa
Test,2015-12-03,South Africa,Delhi,88,165,10,,,lbw,v South Africa in India 2015,no,,Test # 2191,v South Africa in India 2015|South Africa
ODI,2016-01-12,Australia,W.A.C.A,91,97,9,1,,caught,India in Australia 2016 — v Australia,yes,,ODI # 3723,India in Australia 2016 — v Australia|Australia
ODI,2016-01-15,Australia,Brisbane,59,67,4,,,run out,India in Australia 2016 — v Australia,yes,,ODI # 3724,India in Australia 2016 — v Australia|Australia
ODI,2016-01-17,Australia,Melbourne,117,117,7,2,,caught,India in Australia 2016 — v Australia,yes,,ODI # 3725,India in Australia 2016 — v Australia|Australia
ODI,2016-01-20,Australia,Canberra,106,92,11,1,,caught,India in Australia 2016 — v Australia,yes,,ODI # 3726,India in Australia 2016 — v Australia|Australia
ODI,2016-01-23,Australia,Sydney,8,11,1,,,caught,India in Australia 2016 — v Australia,yes,,ODI # 3727,India in Australia 2016 — v Australia|Australia
T20I,2016-01-26,Australia,Adelaide,90,55,9,2,yes,not out,India in Australia 2016 — v Australia,yes,,T20I # 485,India in Australia 2016 — v Australia|Australia
T20I,2016-01-29,Australia,Melbourne,59,33,7,1,yes,not out,India in Australia 2016 — v Australia,yes,,T20I # 486,India in Australia 2016 — v Australia|Australia
T20I,2016-01-31,Australia,Sydney,50,36,2,1,,bowled,India in Australia 2016 — v Australia,yes,,T20I # 489,India in Australia 2016 — v Australia|Australia
T20I,2016-02-24,Bangladesh,Mirpur,7,12,1,,,caught,India in Bangladesh 2016 — v Bangladesh,yes,,T20I # 509,India in Bangladesh 2016 — v Bangladesh|Bangladesh
T20I,2016-02-27,Pakistan,Mirpur,49,51,7,,,lbw,Tournament in Bangladesh 2016,yes,,T20I # 512,Tournament in Bangladesh 2016|Pakistan
T20I,2016-03-01,Sri Lanka,Mirpur,56,47,7,,yes,not out,Tournament in Bangladesh 2016,yes,,T20I # 515,Tournament in Bangladesh 2016|Sri Lanka
T20I,2016-03-06,Bangladesh,Mirpur,41,28,5,,yes,not out,India in Bangladesh 2016 — v Bangladesh,yes,,T20I # 521,India in Bangladesh 2016 — v Bangladesh|Bangladesh
T20I,2016-03-15,New Zealand,Nagpur,23,27,2,,,caught,v New Zealand in India 2016,no,,T20I # 535,v New Zealand in India 2016|New Zealand
T20I,2016-03-19,Pakistan,Eden Gardens,55,37,7,1,yes,not out,v Pakistan in India 2016,no,,T20I # 541,v Pakistan in India 2016|Pakistan
T20I,2016-03-23,Bangladesh,Bengaluru,24,24,,1,,bowled,v Bangladesh in India 2016,no,,T20I # 547,v Bangladesh in India 2016|Bangladesh
T20I,2016-03-27,Australia,Mohali,82,51,9,2,yes,not out,v Australia in India 2016,no,,T20I # 553,v Australia in India 2016|Australia
T20I,2016-03-31,West Indies,Wankhede,89,47,11,1,yes,not out,v West Indies in India 2016,no,,T20I # 556,v West Indies in India 2016|West Indies
IPL,2016-04-12,Sunrisers Hyderabad,M Chinnaswamy Stadium,75,51,7,3,,bowled,,,IPL 2016,IPL-980907,
IPL,2016-04-17,Delhi Daredevils,M Chinnaswamy Stadium,79,48,7,3,,caught (SS Iyer),,,IPL 2016,IPL-980921,
IPL,2016-04-20,Mumbai Indians,Wankhede Stadium,33,34,3,0,,caught (TG Southee),,,IPL 2016,IPL-980927,
IPL,2016-04-22,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,80,70,7,2,,caught (AM Rahane),,,IPL 2016,IPL-980931,
IPL,2016-04-24,Gujarat Lions,Saurashtra Cricket Association Stadium,100,64,11,1,,,,,IPL 2016,IPL-980937,
IPL,2016-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",14,17,1,0,,caught (A Ashish Reddy),,,IPL 2016,IPL-980953,
IPL,2016-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,52,44,4,0,,caught (AD Russell),,,IPL 2016,IPL-980959,
IPL,2016-05-07,Rising Pune Supergiants,M Chinnaswamy Stadium,108,58,8,7,,,,,IPL 2016,IPL-980969,
IPL,2016-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",20,21,2,0,,caught (M Vijay),,,IPL 2016,IPL-980977,
IPL,2016-05-11,Mumbai Indians,M Chinnaswamy Stadium,7,8,0,1,,caught (Harbhajan Singh),,,IPL 2016,IPL-980981,
IPL,2016-05-14,Gujarat Lions,M Chinnaswamy Stadium,109,55,6,8,,caught (DJ Bravo),,,IPL 2016,IPL-980987,
IPL,2016-05-16,Kolkata Knight Riders,Eden Gardens,75,51,5,3,,,,,IPL 2016,IPL-980995,
IPL,2016-05-18,Kings XI Punjab,M Chinnaswamy Stadium,113,51,12,8,,caught (DA Miller),,,IPL 2016,IPL-980999,
IPL,2016-05-22,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,54,45,6,0,,,,,IPL 2016,IPL-981011,
IPL,2016-05-24,Gujarat Lions,M Chinnaswamy Stadium,0,2,0,0,,bowled,,,IPL 2016,IPL-981013,
IPL,2016-05-29,Sunrisers Hyderabad,M Chinnaswamy Stadium,54,36,5,2,,bowled,,,IPL 2016,IPL-981019,
Test,2016-07-21,West Indies,North Sound,200,283,24,,,bowled,India in West Indies 2016 — v West Indies,yes,,Test # 2207,India in West Indies 2016 — v West Indies|West Indies
Test,2016-07-30,West Indies,Kingston,44,90,4,1,,caught,India in West Indies 2016 — v West Indies,yes,,Test # 2211,India in West Indies 2016 — v West Indies|West Indies
Test,2016-08-09,West Indies,Gros Islet,3,8,,,,caught,India in West Indies 2016 — v West Indies,yes,,Test # 2215,India in West Indies 2016 — v West Indies|West Indies
Test,2016-08-09,West Indies,Gros Islet,4,17,,,,lbw,India in West Indies 2016 — v West Indies,yes,,Test # 2215,India in West Indies 2016 — v West Indies|West Indies
T20I,2016-08-27,West Indies,Lauderhill,16,9,3,,,caught,Tournament in USA 2016,yes,,T20I # 562,Tournament in USA 2016|West Indies
Test,2016-09-22,New Zealand,Kanpur,9,10,2,,,caught,v New Zealand in India 2016,no,,Test # 2221,v New Zealand in India 2016|New Zealand
Test,2016-09-22,New Zealand,Kanpur,18,40,3,,,caught,v New Zealand in India 2016,no,,Test # 2221,v New Zealand in India 2016|New Zealand
Test,2016-09-30,New Zealand,Eden Gardens,9,28,1,,,caught,v New Zealand in India 2016,no,,Test # 2222,v New Zealand in India 2016|New Zealand
Test,2016-09-30,New Zealand,Eden Gardens,45,65,7,,,lbw,v New Zealand in India 2016,no,,Test # 2222,v New Zealand in India 2016|New Zealand
Test,2016-10-08,New Zealand,Indore,211,366,20,,,lbw,v New Zealand in India 2016,no,,Test # 2223,v New Zealand in India 2016|New Zealand
Test,2016-10-08,New Zealand,Indore,17,28,1,,,lbw,v New Zealand in India 2016,no,,Test # 2223,v New Zealand in India 2016|New Zealand
ODI,2016-10-16,New Zealand,Dharamsala,85,81,9,1,yes,not out,v New Zealand in India 2016,no,,ODI # 3796,v New Zealand in India 2016|New Zealand
ODI,2016-10-20,New Zealand,Delhi,9,13,1,,,caught,v New Zealand in India 2016,no,,ODI # 3797,v New Zealand in India 2016|New Zealand
ODI,2016-10-23,New Zealand,Mohali,154,134,16,1,yes,not out,v New Zealand in India 2016,no,,ODI # 3798,v New Zealand in India 2016|New Zealand
ODI,2016-10-26,New Zealand,Ranchi,45,51,2,1,,caught,v New Zealand in India 2016,no,,ODI # 3799,v New Zealand in India 2016|New Zealand
ODI,2016-10-29,New Zealand,Visakhapatnam,65,76,2,1,,caught,v New Zealand in India 2016,no,,ODI # 3800,v New Zealand in India 2016|New Zealand
Test,2016-11-09,England,Rajkot,40,95,5,,,hit wicket,v England in India 2016,no,,Test # 2232,v England in India 2016|England
Test,2016-11-09,England,Rajkot,49,98,6,,yes,not out,v England in India 2016,no,,Test # 2232,v England in India 2016|England
Test,2016-11-17,England,Visakhapatnam,167,267,18,,,caught,v England in India 2016,no,,Test # 2235,v England in India 2016|England
Test,2016-11-17,England,Visakhapatnam,81,109,8,,,caught,v England in India 2016,no,,Test # 2235,v England in India 2016|England
Test,2016-11-26,England,Mohali,62,127,9,,,caught,v England in India 2016,no,,Test # 2238,v England in India 2016|England
Test,2016-11-26,England,Mohali,6,11,,,yes,not out,v England in India 2016,no,,Test # 2238,v England in India 2016|England
Test,2016-12-08,England,Wankhede,235,340,25,1,,caught,v England in India 2016,no,,Test # 2239,v England in India 2016|England
Test,2016-12-16,England,Chennai,15,29,1,,,caught,v England in India 2016,no,,Test # 2241,v England in India 2016|England
ODI,2017-01-15,England,Pune,122,105,8,5,,caught,v England in India 2017,no,,ODI # 3819,v England in India 2017|England
ODI,2017-01-19,England,Cuttack,8,5,2,,,caught,v England in India 2017,no,,ODI # 3821,v England in India 2017|England
ODI,2017-01-22,England,Eden Gardens,55,63,8,,,caught,v England in India 2017,no,,ODI # 3824,v England in India 2017|England
T20I,2017-01-26,England,Kanpur,29,26,4,,,caught,v England in India 2017,no,,T20I # 592,v England in India 2017|England
T20I,2017-01-29,England,Nagpur,21,15,2,1,,caught,v England in India 2017,no,,T20I # 593,v England in India 2017|England
T20I,2017-02-01,England,Bengaluru,2,4,,,,run out,v England in India 2017,no,,T20I # 594,v England in India 2017|England
Test,2017-02-09,Bangladesh,Hyderabad,204,246,24,,,lbw,v Bangladesh in India 2017,no,,Test # 2249,v Bangladesh in India 2017|Bangladesh
Test,2017-02-09,Bangladesh,Hyderabad,38,40,2,1,,caught,v Bangladesh in India 2017,no,,Test # 2249,v Bangladesh in India 2017|Bangladesh
Test,2017-02-23,Australia,Pune,0,2,,,,caught,v Australia in India 2017,no,,Test # 2250,v Australia in India 2017|Australia
Test,2017-02-23,Australia,Pune,13,37,1,,,bowled,v Australia in India 2017,no,,Test # 2250,v Australia in India 2017|Australia
Test,2017-03-04,Australia,Bengaluru,12,17,2,,,lbw,v Australia in India 2017,no,,Test # 2251,v Australia in India 2017|Australia
Test,2017-03-04,Australia,Bengaluru,15,25,1,,,lbw,v Australia in India 2017,no,,Test # 2251,v Australia in India 2017|Australia
Test,2017-03-16,Australia,Ranchi,6,23,,,,caught,v Australia in India 2017,no,,Test # 2256,v Australia in India 2017|Australia
IPL,2017-04-14,Mumbai Indians,M Chinnaswamy Stadium,62,48,5,2,,caught (JC Buttler),,,IPL 2017,IPL-1082602,
IPL,2017-04-16,Rising Pune Supergiant,M Chinnaswamy Stadium,28,19,3,1,,caught (AM Rahane),,,IPL 2017,IPL-1082607,
IPL,2017-04-18,Gujarat Lions,Saurashtra Cricket Association Stadium,64,51,7,1,,caught (DR Smith),,,IPL 2017,IPL-1082610,
IPL,2017-04-23,Kolkata Knight Riders,Eden Gardens,0,1,0,0,,caught (MK Pandey),,,IPL 2017,IPL-1082617,
IPL,2017-04-27,Gujarat Lions,M Chinnaswamy Stadium,10,14,0,1,,caught (AJ Finch),,,IPL 2017,IPL-1082621,
IPL,2017-04-29,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,55,48,4,1,,caught (MA Agarwal),,,IPL 2017,IPL-1082624,
IPL,2017-05-01,Mumbai Indians,Wankhede Stadium,20,15,0,2,,caught (RG Sharma),,,IPL 2017,IPL-1082628,
IPL,2017-05-05,Kings XI Punjab,M Chinnaswamy Stadium,6,6,1,0,,bowled,,,IPL 2017,IPL-1082633,
IPL,2017-05-07,Kolkata Knight Riders,M Chinnaswamy Stadium,5,9,0,0,,lbw,,,IPL 2017,IPL-1082636,
IPL,2017-05-14,Delhi Daredevils,Feroz Shah Kotla,58,46,3,3,,caught (S Nadeem),,,IPL 2017,IPL-1082646,
ODI,2017-06-04,Pakistan,Birmingham,81,68,6,3,yes,not out,Tournament in England 2017,yes,,ODI # 3878,Tournament in England 2017|Pakistan
ODI,2017-06-08,Sri Lanka,The Oval,0,5,,,,caught,Tournament in England 2017,yes,,ODI # 3882,Tournament in England 2017|Sri Lanka
ODI,2017-06-11,South Africa,The Oval,76,101,7,1,yes,not out,Tournament in England 2017,yes,,ODI # 3886,Tournament in England 2017|South Africa
ODI,2017-06-15,Bangladesh,Birmingham,96,78,13,,yes,not out,Tournament in England 2017,yes,,ODI # 3891,Tournament in England 2017|Bangladesh
ODI,2017-06-18,Pakistan,The Oval,5,9,,,,caught,Tournament in England 2017,yes,,ODI # 3894,Tournament in England 2017|Pakistan
ODI,2017-06-23,West Indies,Port of Spain,32,47,1,,yes,not out,India in West Indies 2017 — v West Indies,yes,,ODI # 3895,India in West Indies 2017 — v West Indies|West Indies
ODI,2017-06-25,West Indies,Port of Spain,87,66,4,4,,caught,India in West Indies 2017 — v West Indies,yes,,ODI # 3896,India in West Indies 2017 — v West Indies|West Indies
ODI,2017-06-30,West Indies,North Sound,11,22,2,,,caught,India in West Indies 2017 — v West Indies,yes,,ODI # 3898,India in West Indies 2017 — v West Indies|West Indies
ODI,2017-07-02,West Indies,North Sound,3,12,,,,caught,India in West Indies 2017 — v West Indies,yes,,ODI # 3900,India in West Indies 2017 — v West Indies|West Indies
ODI,2017-07-06,West Indies,Kingston,111,115,12,2,yes,not out,India in West Indies 2017 — v West Indies,yes,,ODI # 3902,India in West Indies 2017 — v West Indies|West Indies
T20I,2017-07-09,West Indies,Kingston,39,22,7,1,,caught,India in West Indies 2017 — v West Indies,yes,,T20I # 617,India in West Indies 2017 — v West Indies|West Indies
Test,2017-07-26,Sri Lanka,Galle,3,8,,,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,Test # 2265,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
Test,2017-07-26,Sri Lanka,Galle,103,136,5,1,yes,not out,India in Sri Lanka 2017 — v Sri Lanka,yes,,Test # 2265,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
Test,2017-08-03,Sri Lanka,Colombo (SSC),13,29,2,,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,Test # 2267,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
Test,2017-08-12,Sri Lanka,Pallekele,42,84,3,,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,Test # 2269,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
ODI,2017-08-20,Sri Lanka,Dambulla,82,70,10,1,yes,not out,India in Sri Lanka 2017 — v Sri Lanka,yes,,ODI # 3905,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
ODI,2017-08-24,Sri Lanka,Pallekele,4,2,1,,,bowled,India in Sri Lanka 2017 — v Sri Lanka,yes,,ODI # 3906,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
ODI,2017-08-27,Sri Lanka,Pallekele,3,11,,,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,ODI # 3907,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
ODI,2017-08-31,Sri Lanka,Colombo (RPS),131,96,17,2,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,ODI # 3908,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
ODI,2017-09-03,Sri Lanka,Colombo (RPS),110,116,9,,yes,not out,India in Sri Lanka 2017 — v Sri Lanka,yes,,ODI # 3909,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
T20I,2017-09-06,Sri Lanka,Colombo (RPS),82,54,7,1,,caught,India in Sri Lanka 2017 — v Sri Lanka,yes,,T20I # 618,India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka
